experiment_id,stage,target,method,evaluation_window,population_rows,positives,base_rate,pr_auc,precision,recall,f2,alerts,threshold,status,decision
E01,資料探索,缺車事件長度,只出現一個30分鐘快照,2026-01至2026-04,,,,,,,,,,adopted_evidence,59.1%事件下一張即恢復
E01,資料探索,缺車事件長度,持續至少60分鐘,2026-01至2026-04,,,,,,,,,,adopted_evidence,40.9%事件值得進一步辨識
E01,資料探索,缺車事件長度,只出現一個30分鐘快照,2026-05,,,,,,,,,,adopted_evidence,59.6%事件下一張即恢復且與開發期接近
E01,資料探索,缺車事件長度,持續至少60分鐘,2026-05,,,,,,,,,,adopted_evidence,40.4%事件持續且與開發期接近
E02,站點重要性,前25%重要站,一般變動與總變動敏感度,2026-01至2026-05,,,,,,,,,,adopted_evidence,名單會隨定義變動所以不硬塞成訓練母體
E03,雙優先分析,高失衡與高價值站,尖峰失衡率交叉使用流量代理,2026-01至2026-05,,,,,,,,,,adopted_evidence,問題嚴重度與營運影響力留在決策層
E04,初始baseline,正常站t+30新缺車,可借比例規則,2026-05-21至2026-05-31尖峰,219578,8854,0.0403228,0.1566107,0.1365785,0.6622995,0.3742135,,,baseline,簡單比例基準
E04,初始baseline,正常站t+30新缺車,線性外推,2026-05-21至2026-05-31尖峰,219578,8854,0.0403228,0.1273939,0.1245011,0.6659137,0.3561548,,,baseline,簡單趨勢基準
E04,初始baseline,正常站t+30新缺車,Logistic,2026-05-21至2026-05-31尖峰,219578,8854,0.0403228,0.1902829,0.1560569,0.6874859,0.4089571,,,baseline,統計學習基準
E05,初始樹模型,正常站t+30新缺車,LightGBM v1,2026-05-21至2026-05-31尖峰,219578,8854,0.0403228,0.2688269,0.2015643,0.6839846,0.4625655,,,not_adopted,排序改善但警示Precision不足
E05,初始樹模型,正常站t+30新缺車,LightGBM調參,2026-05-21至2026-05-31尖峰,219578,8854,0.0403228,0.2708344,0.2036561,0.6807093,0.4635441,,,not_adopted,第一版缺車最佳PR-AUC但不適合直接派工
E05,初始樹模型,正常站t+30新缺車,XGBoost調參,2026-05-21至2026-05-31尖峰,219578,8854,0.0403228,0.2697259,0.1965866,0.7051050,0.4646956,,,not_adopted,F2略高但Precision仍低
E05,初始樹模型,正常站t+30新滿柱,LightGBM v1,2026-05-21至2026-05-31尖峰,219578,1484,0.0067584,0.1622078,0.1249092,0.5795148,0.3353873,,,not_adopted,事件更稀少
E05,初始樹模型,正常站t+30新滿柱,LightGBM調參,2026-05-21至2026-05-31尖峰,219578,1484,0.0067584,0.1605747,0.1227614,0.5727763,0.3304821,,,not_adopted,未勝過v1
E05,初始樹模型,正常站t+30新滿柱,XGBoost調參,2026-05-21至2026-05-31尖峰,219578,1484,0.0067584,0.1579340,0.1279628,0.5384097,0.3279967,,,not_adopted,未形成可用警示
E06,行動政策,新失衡警示清單,F2門檻與K5 K10 K20,2026-05,,,,,,,,,,baseline,TopK控制工作量但純K會硬湊低風險站
E07,營運容量代理,疑似運補跳動,大量車數跳動與介入容量情境,2026-01至2026-05,,,,,,,,,,exploratory,只能作代理不可宣稱真實運補或成本
E08,加權實驗,exact-zero缺車,未加權基準,2026-05,,,,0.12874,,,,,,not_adopted,canonical PR-AUC
E08,加權實驗,exact-zero缺車,正例權重2倍,2026-05,,,,0.12966,,,,,,not_adopted,改善僅約0.09個百分點
E08,加權實驗,exact-zero缺車,困難負例權重2倍,2026-05,,,,0.12371,,,,,,not_adopted,反而下降
E08,加權實驗,exact-zero缺車,組合權重2倍,2026-05,,,,0.12323,,,,,,not_adopted,反而下降
E08,加權實驗,exact-zero滿柱,未加權基準,2026-05,,,,0.05187,,,,,,not_adopted,canonical PR-AUC
E08,加權實驗,exact-zero滿柱,正例權重4倍,2026-05,,,,0.05497,,,,,,not_adopted,小幅提升仍不足
E09,標籤實驗,替代失衡定義,小於等於1或2車及容量5%,2026-05,,,,,,,,,,not_adopted,自身任務較容易但exact-zero沒有穩定改善
E10,隔日尖峰,早尖峰確切時槽缺車,05:30預測06:00至10:00,2026-05,,,,0.0385,,,,,,not_adopted,欄位為相對基線PR-AUC增量而非絕對值
E11,多時點,缺車t+30且t+60皆失衡,LightGBM joint label,2026-05,,,0.0109,0.1328,0.1915,0.2047,,,,not_adopted,正例過稀疏
E11,多時點,滿柱t+30且t+60皆失衡,LightGBM joint label,2026-05,,,0.0010,0.0654,0.0909,0.2869,,,,not_adopted,正例更稀疏
E12,首次紅燈,缺車持續30分鐘,LightGBM二元模型,2026-05,,,0.3826,0.5098,0.5902,0.1908,,,,promising_not_final,只在Episode第一張紅燈預測
