task,panel,method,K,duration_bin,seed,candidates,positives,selected,TP,FP,precision,recall,AP,feature_count,tree_count,groups_over_k
R2-1,global_top_k,A0,3,ALL,-1,27962,11921,1260,870,390,0.6904761904761905,0.07298045465984397,0.5661462842495844,68.0,242.0,
R2-1,global_top_k,A0,5,ALL,-1,27962,11921,2097,1404,693,0.6695278969957081,0.11777535441657579,0.5661462842495844,68.0,242.0,
R2-1,global_top_k,A0,10,ALL,-1,27962,11921,4152,2574,1578,0.619942196531792,0.2159214830970556,0.5661462842495844,68.0,242.0,
R2-1,global_top_k,A0,20,ALL,-1,27962,11921,8056,4488,3568,0.5571002979145978,0.37647848334871237,0.5661462842495844,68.0,242.0,
R2-1,global_top10_by_duration,A0,10,B0,-1,17067,6651,2105,1178,927,0.5596199524940617,0.1771162231243422,,68.0,242.0,369.0
R2-1,within_duration_top10,A0,10,B0,-1,17067,6651,4020,2040,1980,0.5074626865671642,0.3067207938655841,,68.0,242.0,369.0
R2-1,global_top10_by_duration,A0,10,B1,-1,8521,3664,1144,647,497,0.5655594405594405,0.1765829694323144,,68.0,242.0,283.0
R2-1,within_duration_top10,A0,10,B1,-1,8521,3664,3612,1735,1877,0.48034330011074194,0.47352620087336245,,68.0,242.0,283.0
R2-1,global_top10_by_duration,A0,10,B2,-1,1337,624,279,163,116,0.5842293906810035,0.26121794871794873,,68.0,242.0,19.0
R2-1,within_duration_top10,A0,10,B2,-1,1337,624,1240,580,660,0.46774193548387094,0.9294871794871795,,68.0,242.0,19.0
R2-1,global_top10_by_duration,A0,10,B3,-1,1037,982,624,586,38,0.9391025641025641,0.5967413441955194,,68.0,242.0,0.0
R2-1,within_duration_top10,A0,10,B3,-1,1037,982,1037,982,55,0.9469623915139826,1.0,,68.0,242.0,0.0
R2-1,global_top_k,A1,3,ALL,-1,27962,11921,1260,831,429,0.6595238095238095,0.06970891703716131,0.5519576585121433,65.0,226.0,
R2-1,global_top_k,A1,5,ALL,-1,27962,11921,2097,1351,746,0.6442536957558417,0.11332941867293013,0.5519576585121433,65.0,226.0,
R2-1,global_top_k,A1,10,ALL,-1,27962,11921,4152,2485,1667,0.5985067437379576,0.20845566647093364,0.5519576585121433,65.0,226.0,
R2-1,global_top_k,A1,20,ALL,-1,27962,11921,8056,4376,3680,0.5431976166832175,0.3670832983810083,0.5519576585121433,65.0,226.0,
R2-1,global_top10_by_duration,A1,10,B0,-1,17067,6651,2160,1199,961,0.5550925925925926,0.1802736430611938,,65.0,226.0,369.0
R2-1,within_duration_top10,A1,10,B0,-1,17067,6651,4020,2023,1997,0.5032338308457711,0.3041647872500376,,65.0,226.0,369.0
R2-1,global_top10_by_duration,A1,10,B1,-1,8521,3664,1226,688,538,0.5611745513866232,0.18777292576419213,,65.0,226.0,283.0
R2-1,within_duration_top10,A1,10,B1,-1,8521,3664,3612,1731,1881,0.4792358803986711,0.4724344978165939,,65.0,226.0,283.0
R2-1,global_top10_by_duration,A1,10,B2,-1,1337,624,327,180,147,0.5504587155963303,0.28846153846153844,,65.0,226.0,19.0
R2-1,within_duration_top10,A1,10,B2,-1,1337,624,1240,581,659,0.4685483870967742,0.9310897435897436,,65.0,226.0,19.0
R2-1,global_top10_by_duration,A1,10,B3,-1,1037,982,439,418,21,0.9521640091116174,0.4256619144602851,,65.0,226.0,0.0
R2-1,within_duration_top10,A1,10,B3,-1,1037,982,1037,982,55,0.9469623915139826,1.0,,65.0,226.0,0.0
R2-1,global_top_k,A2,3,ALL,-1,27962,11921,1260,849,411,0.6738095238095239,0.07121885747839947,0.5567297431709526,30.0,238.0,
R2-1,global_top_k,A2,5,ALL,-1,27962,11921,2097,1353,744,0.6452074391988555,0.1134971898330677,0.5567297431709526,30.0,238.0,
R2-1,global_top_k,A2,10,ALL,-1,27962,11921,4152,2495,1657,0.6009152215799615,0.2092945222716215,0.5567297431709526,30.0,238.0,
R2-1,global_top_k,A2,20,ALL,-1,27962,11921,8056,4402,3654,0.5464250248262165,0.36926432346279675,0.5567297431709526,30.0,238.0,
R2-1,global_top10_by_duration,A2,10,B0,-1,17067,6651,2192,1212,980,0.5529197080291971,0.18222823635543528,,30.0,238.0,369.0
R2-1,within_duration_top10,A2,10,B0,-1,17067,6651,4020,2024,1996,0.5034825870646766,0.30431514058036385,,30.0,238.0,369.0
R2-1,global_top10_by_duration,A2,10,B1,-1,8521,3664,1197,670,527,0.5597326649958229,0.18286026200873362,,30.0,238.0,283.0
R2-1,within_duration_top10,A2,10,B1,-1,8521,3664,3612,1727,1885,0.4781284606866002,0.4713427947598253,,30.0,238.0,283.0
R2-1,global_top10_by_duration,A2,10,B2,-1,1337,624,284,163,121,0.573943661971831,0.26121794871794873,,30.0,238.0,19.0
R2-1,within_duration_top10,A2,10,B2,-1,1337,624,1240,584,656,0.47096774193548385,0.9358974358974359,,30.0,238.0,19.0
R2-1,global_top10_by_duration,A2,10,B3,-1,1037,982,479,450,29,0.9394572025052192,0.45824847250509165,,30.0,238.0,0.0
R2-1,within_duration_top10,A2,10,B3,-1,1037,982,1037,982,55,0.9469623915139826,1.0,,30.0,238.0,0.0
R2-1,global_top_k,A3,3,ALL,-1,27962,11921,1260,836,424,0.6634920634920635,0.07012834493750525,0.5526524834150195,60.0,182.0,
R2-1,global_top_k,A3,5,ALL,-1,27962,11921,2097,1353,744,0.6452074391988555,0.1134971898330677,0.5526524834150195,60.0,182.0,
R2-1,global_top_k,A3,10,ALL,-1,27962,11921,4152,2494,1658,0.600674373795761,0.2092106366915527,0.5526524834150195,60.0,182.0,
R2-1,global_top_k,A3,20,ALL,-1,27962,11921,8056,4394,3662,0.5454319761668321,0.3685932388222465,0.5526524834150195,60.0,182.0,
R2-1,global_top10_by_duration,A3,10,B0,-1,17067,6651,2109,1169,940,0.5542911332385017,0.1757630431514058,,60.0,182.0,369.0
R2-1,within_duration_top10,A3,10,B0,-1,17067,6651,4020,2032,1988,0.5054726368159204,0.305517967222974,,60.0,182.0,369.0
R2-1,global_top10_by_duration,A3,10,B1,-1,8521,3664,1258,706,552,0.56120826709062,0.19268558951965065,,60.0,182.0,283.0
R2-1,within_duration_top10,A3,10,B1,-1,8521,3664,3612,1730,1882,0.4789590254706534,0.4721615720524017,,60.0,182.0,283.0
R2-1,global_top10_by_duration,A3,10,B2,-1,1337,624,312,180,132,0.5769230769230769,0.28846153846153844,,60.0,182.0,19.0
R2-1,within_duration_top10,A3,10,B2,-1,1337,624,1240,581,659,0.4685483870967742,0.9310897435897436,,60.0,182.0,19.0
R2-1,global_top10_by_duration,A3,10,B3,-1,1037,982,473,439,34,0.9281183932346723,0.4470468431771894,,60.0,182.0,0.0
R2-1,within_duration_top10,A3,10,B3,-1,1037,982,1037,982,55,0.9469623915139826,1.0,,60.0,182.0,0.0
R2-1,global_top_k,A4,3,ALL,-1,27962,11921,1260,1024,236,0.8126984126984127,0.08589883399043705,0.5965124560649566,67.0,380.0,
R2-1,global_top_k,A4,5,ALL,-1,27962,11921,2097,1555,542,0.7415355269432523,0.1304420770069625,0.5965124560649566,67.0,380.0,
R2-1,global_top_k,A4,10,ALL,-1,27962,11921,4152,2631,1521,0.6336705202312138,0.22070296116097643,0.5965124560649566,67.0,380.0,
R2-1,global_top_k,A4,20,ALL,-1,27962,11921,8056,4496,3560,0.5580933465739821,0.37714956798926264,0.5965124560649566,67.0,380.0,
R2-1,global_top10_by_duration,A4,10,B0,-1,17067,6651,1749,906,843,0.5180102915951973,0.13622011727559766,,67.0,380.0,369.0
R2-1,within_duration_top10,A4,10,B0,-1,17067,6651,4020,1978,2042,0.49203980099502487,0.2973988873853556,,67.0,380.0,369.0
R2-1,global_top10_by_duration,A4,10,B1,-1,8521,3664,990,550,440,0.5555555555555556,0.15010917030567686,,67.0,380.0,283.0
R2-1,within_duration_top10,A4,10,B1,-1,8521,3664,3612,1708,1904,0.4728682170542636,0.4661572052401747,,67.0,380.0,283.0
R2-1,global_top10_by_duration,A4,10,B2,-1,1337,624,402,216,186,0.5373134328358209,0.34615384615384615,,67.0,380.0,19.0
R2-1,within_duration_top10,A4,10,B2,-1,1337,624,1240,584,656,0.47096774193548385,0.9358974358974359,,67.0,380.0,19.0
R2-1,global_top10_by_duration,A4,10,B3,-1,1037,982,1011,959,52,0.9485657764589516,0.9765784114052953,,67.0,380.0,0.0
R2-1,within_duration_top10,A4,10,B3,-1,1037,982,1037,982,55,0.9469623915139826,1.0,,67.0,380.0,0.0
R2-1,global_top_k,A5,3,ALL,-1,27962,11921,1260,1040,220,0.8253968253968254,0.08724100327153762,0.5864589531630962,65.0,210.0,
R2-1,global_top_k,A5,5,ALL,-1,27962,11921,2097,1537,560,0.7329518359561278,0.12893213656572436,0.5864589531630962,65.0,210.0,
R2-1,global_top_k,A5,10,ALL,-1,27962,11921,4152,2548,1604,0.6136801541425819,0.21374045801526717,0.5864589531630962,65.0,210.0,
R2-1,global_top_k,A5,20,ALL,-1,27962,11921,8056,4370,3686,0.5424528301886793,0.36657998490059557,0.5864589531630962,65.0,210.0,
R2-1,global_top10_by_duration,A5,10,B0,-1,17067,6651,1631,791,840,0.48497854077253216,0.11892948428807698,,65.0,210.0,369.0
R2-1,within_duration_top10,A5,10,B0,-1,17067,6651,4020,1887,2133,0.46940298507462686,0.2837167343256653,,65.0,210.0,369.0
R2-1,global_top10_by_duration,A5,10,B1,-1,8521,3664,1018,529,489,0.5196463654223968,0.14437772925764192,,65.0,210.0,283.0
R2-1,within_duration_top10,A5,10,B1,-1,8521,3664,3612,1671,1941,0.462624584717608,0.4560589519650655,,65.0,210.0,283.0
R2-1,global_top10_by_duration,A5,10,B2,-1,1337,624,476,253,223,0.5315126050420168,0.40544871794871795,,65.0,210.0,19.0
R2-1,within_duration_top10,A5,10,B2,-1,1337,624,1240,581,659,0.4685483870967742,0.9310897435897436,,65.0,210.0,19.0
R2-1,global_top10_by_duration,A5,10,B3,-1,1037,982,1027,975,52,0.9493670886075949,0.9928716904276986,,65.0,210.0,0.0
R2-1,within_duration_top10,A5,10,B3,-1,1037,982,1037,982,55,0.9469623915139826,1.0,,65.0,210.0,0.0
R2-3,global_policy,F0,3,ALL,-1,27962,11921,1260,870,390,0.6904761904761905,0.07298045465984397,,,,
R2-3,global_policy,F0,5,ALL,-1,27962,11921,2097,1404,693,0.6695278969957081,0.11777535441657579,,,,
R2-3,global_policy,F0,10,ALL,-1,27962,11921,4152,2574,1578,0.619942196531792,0.2159214830970556,,,,
R2-3,global_policy,F0,20,ALL,-1,27962,11921,8056,4488,3568,0.5571002979145978,0.37647848334871237,,,,
R2-3,global_policy,DURATION,3,ALL,-1,27962,11921,1260,1044,216,0.8285714285714286,0.08757654559181277,,,,
R2-3,global_policy,DURATION,5,ALL,-1,27962,11921,2097,1460,637,0.6962327134000954,0.12247294690042781,,,,
R2-3,global_policy,DURATION,10,ALL,-1,27962,11921,4152,2327,1825,0.5604527938342967,0.19520174482006544,,,,
R2-3,global_policy,DURATION,20,ALL,-1,27962,11921,8056,3951,4105,0.490441906653426,0.3314319268517742,,,,
R2-3,global_policy,LONG_FIRST_F0,3,ALL,-1,27962,11921,1260,1067,193,0.8468253968253968,0.08950591393339485,,,,
R2-3,global_policy,LONG_FIRST_F0,5,ALL,-1,27962,11921,2097,1615,482,0.7701478302336672,0.13547521181108968,,,,
R2-3,global_policy,LONG_FIRST_F0,10,ALL,-1,27962,11921,4152,2733,1419,0.6582369942196532,0.2292592903279926,,,,
R2-3,global_policy,LONG_FIRST_F0,20,ALL,-1,27962,11921,8056,4613,3443,0.5726166832174776,0.3869641808573106,,,,
R2-3,global_policy,STORED_NO_STATION,3,ALL,-1,27962,11921,1260,1040,220,0.8253968253968254,0.08724100327153762,,,,
R2-3,global_policy,STORED_NO_STATION,5,ALL,-1,27962,11921,2097,1537,560,0.7329518359561278,0.12893213656572436,,,,
R2-3,global_policy,STORED_NO_STATION,10,ALL,-1,27962,11921,4152,2548,1604,0.6136801541425819,0.21374045801526717,,,,
R2-3,global_policy,STORED_NO_STATION,20,ALL,-1,27962,11921,8056,4370,3686,0.5424528301886793,0.36657998490059557,,,,
