variant,duration_bin,mixed_groups,pairs,conditional_auc,ci_lower,ci_upper
A0,ALL,1283,270495,0.6251113698959315,0.6177310730902306,0.6329842150008443
A0,B0,413,227649,0.6316544329208562,0.6236804887914557,0.6399798268327772
A0,B1,666,41734,0.5904298653376144,0.5752419269146705,0.6095937235213468
A0,B2,199,1104,0.5869565217391305,0.5373788306889806,0.6376348439336555
A0,B3,5,8,0.625,0.3333333333333333,1.0
A1,ALL,1283,270495,0.6251446422299858,0.6165382322096139,0.6340525556519591
A1,B0,413,227649,0.6321661856630163,0.6231529469719393,0.6417877821682564
A1,B1,666,41734,0.5878779891695021,0.5729224925290478,0.6063280852169032
A1,B2,199,1104,0.5860507246376812,0.5422545541092986,0.633963667693651
A1,B3,5,8,0.625,0.3333333333333333,1.0
A2,ALL,1283,270495,0.6242222591914823,0.6155500853878701,0.6321233697532219
A2,B0,413,227649,0.6314501710967323,0.6227022769385782,0.6392251917170002
A2,B1,666,41734,0.5856615709014233,0.5710866451338051,0.603383952827597
A2,B2,199,1104,0.5914855072463768,0.5433302469135802,0.6388699761982408
A2,B3,5,8,0.625,0.3333333333333333,1.0
A3,ALL,1283,270495,0.6239745651490786,0.6162416942811547,0.6321680974359445
A3,B0,413,227649,0.6306528910735386,0.6221175244561137,0.6392495577149684
A3,B1,666,41734,0.5884290985767,0.5733704744561297,0.6071716518118998
A3,B2,199,1104,0.5905797101449275,0.5458993688639552,0.6335954716699616
A3,B3,5,8,0.625,0.35714285714285715,1.0
A4,ALL,1283,270495,0.6066655575888649,0.596165189625097,0.6185873045253687
A4,B0,413,227649,0.6096139231887687,0.5982019396486965,0.6219518948765733
A4,B1,666,41734,0.5908851296305171,0.5720869724377928,0.6126102084616979
A4,B2,199,1104,0.5942028985507246,0.5530775259118,0.6360320012793403
A4,B3,5,8,0.75,0.0,1.0
A5,ALL,1283,270495,0.5868149133995083,0.5767276349590518,0.5979135533192902
A5,B0,413,227649,0.5896357989712232,0.5782873560130934,0.6009865316465082
A5,B1,666,41734,0.5715244165428667,0.5560998104317176,0.588922692718524
A5,B2,199,1104,0.5819746376811594,0.5450153492706604,0.6127347860326396
A5,B3,5,8,0.75,0.0,1.0
