variant,fold,train_months,validation_month,train_rows,validation_peak_rows,validation_positives,validation_prevalence,average_precision,tree_count
A0,jan_to_feb,1,2,72607,20352,7836,0.38502358490566035,0.49818066360795726,108
A0,jan_feb_to_mar,"1,2",3,132949,34665,14317,0.41301024087696525,0.5443231526921961,377
A1,jan_to_feb,1,2,72607,20352,7836,0.38502358490566035,0.4984961086649513,118
A1,jan_feb_to_mar,"1,2",3,132949,34665,14317,0.41301024087696525,0.5399709064880724,333
A2,jan_to_feb,1,2,72607,20352,7836,0.38502358490566035,0.49775403326396783,108
A2,jan_feb_to_mar,"1,2",3,132949,34665,14317,0.41301024087696525,0.5412305445200738,369
A3,jan_to_feb,1,2,72607,20352,7836,0.38502358490566035,0.4987510993275346,123
A3,jan_feb_to_mar,"1,2",3,132949,34665,14317,0.41301024087696525,0.5399340416970729,241
A4,jan_to_feb,1,2,72607,20352,7836,0.38502358490566035,0.48341583738734656,246
A4,jan_feb_to_mar,"1,2",3,132949,34665,14317,0.41301024087696525,0.5388098620146325,513
A5,jan_to_feb,1,2,72607,20352,7836,0.38502358490566035,0.47514900386787023,132
A5,jan_feb_to_mar,"1,2",3,132949,34665,14317,0.41301024087696525,0.5238674711590309,289
