K,membership,duration_bin,rows,TP,FP,precision,long_share
3,both,ALL,273,246,27,0.9010989010989011,0.8131868131868132
3,both,B0,5,3,2,0.6,0.0
3,both,B1,19,9,10,0.47368421052631576,0.0
3,both,B2,27,17,10,0.6296296296296297,0.0
3,both,B3,222,217,5,0.9774774774774775,1.0
3,f0_only,ALL,987,624,363,0.6322188449848024,0.03850050658561297
3,f0_only,B0,585,360,225,0.6153846153846154,0.0
3,f0_only,B1,289,190,99,0.657439446366782,0.0
3,f0_only,B2,75,46,29,0.6133333333333333,0.0
3,f0_only,B3,38,28,10,0.7368421052631579,1.0
3,duration_only,ALL,987,798,189,0.8085106382978723,0.662613981762918
3,duration_only,B0,6,1,5,0.16666666666666666,0.0
3,duration_only,B1,115,53,62,0.4608695652173913,0.0
3,duration_only,B2,212,105,107,0.49528301886792453,0.0
3,duration_only,B3,654,639,15,0.9770642201834863,1.0
5,both,ALL,577,463,114,0.8024263431542461,0.6655112651646448
5,both,B0,24,10,14,0.4166666666666667,0.0
5,both,B1,76,34,42,0.4473684210526316,0.0
5,both,B2,93,56,37,0.6021505376344086,0.0
5,both,B3,384,363,21,0.9453125,1.0
5,f0_only,ALL,1520,941,579,0.6190789473684211,0.003947368421052632
5,f0_only,B0,974,602,372,0.6180698151950719,0.0
5,f0_only,B1,477,297,180,0.6226415094339622,0.0
5,f0_only,B2,63,39,24,0.6190476190476191,0.0
5,f0_only,B3,6,3,3,0.5,1.0
5,duration_only,ALL,1520,997,523,0.655921052631579,0.42039473684210527
5,duration_only,B0,20,6,14,0.3,0.0
5,duration_only,B1,345,147,198,0.4260869565217391,0.0
5,duration_only,B2,516,230,286,0.44573643410852715,0.0
5,duration_only,B3,639,614,25,0.9608763693270735,1.0
10,both,ALL,1479,1031,448,0.6970926301555105,0.42190669371196754
10,both,B0,149,54,95,0.3624161073825503,0.0
10,both,B1,446,242,204,0.5426008968609866,0.0
10,both,B2,260,149,111,0.573076923076923,0.0
10,both,B3,624,586,38,0.9391025641025641,1.0
10,f0_only,ALL,2673,1543,1130,0.5772540216984662,0.0
10,f0_only,B0,1956,1124,832,0.5746421267893661,0.0
10,f0_only,B1,698,405,293,0.5802292263610315,0.0
10,f0_only,B2,19,14,5,0.7368421052631579,0.0
10,f0_only,B3,0,0,0,,
10,duration_only,ALL,2673,1296,1377,0.48484848484848486,0.15450804339693228
10,duration_only,B0,88,34,54,0.38636363636363635,0.0
10,duration_only,B1,1305,491,814,0.37624521072796935,0.0
10,duration_only,B2,867,375,492,0.43252595155709345,0.0
10,duration_only,B3,413,396,17,0.9588377723970944,1.0
20,both,ALL,3973,2282,1691,0.5743770450541152,0.2008557764913164
20,both,B0,932,389,543,0.41738197424892703,0.0
20,both,B1,1712,845,867,0.4935747663551402,0.0
20,both,B2,531,295,236,0.5555555555555556,0.0
20,both,B3,798,753,45,0.943609022556391,1.0
20,f0_only,ALL,4083,2206,1877,0.5402890031839334,0.0
20,f0_only,B0,3402,1808,1594,0.5314520870076426,0.0
20,f0_only,B1,676,395,281,0.584319526627219,0.0
20,f0_only,B2,5,3,2,0.6,0.0
20,f0_only,B3,0,0,0,,
20,duration_only,ALL,4083,1669,2414,0.40876806269899585,0.05853539064413422
20,duration_only,B0,382,120,262,0.31413612565445026,0.0
20,duration_only,B1,2673,999,1674,0.37373737373737376,0.0
20,duration_only,B2,789,321,468,0.4068441064638783,0.0
20,duration_only,B3,239,229,10,0.9581589958158996,1.0
