K,membership,duration_bin,rows,TP,FP,precision,long_share,comparison
3,both,ALL,644,473,171,0.734472049689441,0.40372670807453415,LONG_FIRST_F0_vs_F0
3,both,B0,231,132,99,0.5714285714285714,0.0,LONG_FIRST_F0_vs_F0
3,both,B1,113,70,43,0.6194690265486725,0.0,LONG_FIRST_F0_vs_F0
3,both,B2,40,26,14,0.65,0.0,LONG_FIRST_F0_vs_F0
3,both,B3,260,245,15,0.9423076923076923,1.0,LONG_FIRST_F0_vs_F0
3,long_first_only,ALL,616,594,22,0.9642857142857143,1.0,LONG_FIRST_F0_vs_F0
3,long_first_only,B0,0,0,0,,,LONG_FIRST_F0_vs_F0
3,long_first_only,B1,0,0,0,,,LONG_FIRST_F0_vs_F0
3,long_first_only,B2,0,0,0,,,LONG_FIRST_F0_vs_F0
3,long_first_only,B3,616,594,22,0.9642857142857143,1.0,LONG_FIRST_F0_vs_F0
3,f0_only,ALL,616,397,219,0.6444805194805194,0.0,LONG_FIRST_F0_vs_F0
3,f0_only,B0,359,231,128,0.6434540389972145,0.0,LONG_FIRST_F0_vs_F0
3,f0_only,B1,195,129,66,0.6615384615384615,0.0,LONG_FIRST_F0_vs_F0
3,f0_only,B2,62,37,25,0.5967741935483871,0.0,LONG_FIRST_F0_vs_F0
3,f0_only,B3,0,0,0,,,LONG_FIRST_F0_vs_F0
3,both,ALL,808,767,41,0.9492574257425742,0.9368811881188119,LONG_FIRST_F0_vs_DURATION
3,both,B0,5,3,2,0.6,0.0,LONG_FIRST_F0_vs_DURATION
3,both,B1,19,9,10,0.47368421052631576,0.0,LONG_FIRST_F0_vs_DURATION
3,both,B2,27,17,10,0.6296296296296297,0.0,LONG_FIRST_F0_vs_DURATION
3,both,B3,757,738,19,0.9749009247027741,1.0,LONG_FIRST_F0_vs_DURATION
3,long_first_only,ALL,452,300,152,0.6637168141592921,0.26327433628318586,LONG_FIRST_F0_vs_DURATION
3,long_first_only,B0,226,129,97,0.5707964601769911,0.0,LONG_FIRST_F0_vs_DURATION
3,long_first_only,B1,94,61,33,0.648936170212766,0.0,LONG_FIRST_F0_vs_DURATION
3,long_first_only,B2,13,9,4,0.6923076923076923,0.0,LONG_FIRST_F0_vs_DURATION
3,long_first_only,B3,119,101,18,0.8487394957983193,1.0,LONG_FIRST_F0_vs_DURATION
3,duration_only,ALL,452,277,175,0.6128318584070797,0.26327433628318586,LONG_FIRST_F0_vs_DURATION
3,duration_only,B0,6,1,5,0.16666666666666666,0.0,LONG_FIRST_F0_vs_DURATION
3,duration_only,B1,115,53,62,0.4608695652173913,0.0,LONG_FIRST_F0_vs_DURATION
3,duration_only,B2,212,105,107,0.49528301886792453,0.0,LONG_FIRST_F0_vs_DURATION
3,duration_only,B3,119,118,1,0.9915966386554622,1.0,LONG_FIRST_F0_vs_DURATION
5,both,ALL,1464,1011,453,0.6905737704918032,0.26639344262295084,LONG_FIRST_F0_vs_F0
5,both,B0,637,377,260,0.5918367346938775,0.0,LONG_FIRST_F0_vs_F0
5,both,B1,342,210,132,0.6140350877192983,0.0,LONG_FIRST_F0_vs_F0
5,both,B2,95,58,37,0.6105263157894737,0.0,LONG_FIRST_F0_vs_F0
5,both,B3,390,366,24,0.9384615384615385,1.0,LONG_FIRST_F0_vs_F0
5,long_first_only,ALL,633,604,29,0.9541864139020537,1.0,LONG_FIRST_F0_vs_F0
5,long_first_only,B0,0,0,0,,,LONG_FIRST_F0_vs_F0
5,long_first_only,B1,0,0,0,,,LONG_FIRST_F0_vs_F0
5,long_first_only,B2,0,0,0,,,LONG_FIRST_F0_vs_F0
5,long_first_only,B3,633,604,29,0.9541864139020537,1.0,LONG_FIRST_F0_vs_F0
5,f0_only,ALL,633,393,240,0.6208530805687204,0.0,LONG_FIRST_F0_vs_F0
5,f0_only,B0,361,235,126,0.6509695290858726,0.0,LONG_FIRST_F0_vs_F0
5,f0_only,B1,211,121,90,0.5734597156398105,0.0,LONG_FIRST_F0_vs_F0
5,f0_only,B2,61,37,24,0.6065573770491803,0.0,LONG_FIRST_F0_vs_F0
5,f0_only,B3,0,0,0,,,LONG_FIRST_F0_vs_F0
5,both,ALL,1182,1053,129,0.8908629441624365,0.8544839255499154,LONG_FIRST_F0_vs_DURATION
5,both,B0,24,10,14,0.4166666666666667,0.0,LONG_FIRST_F0_vs_DURATION
5,both,B1,72,34,38,0.4722222222222222,0.0,LONG_FIRST_F0_vs_DURATION
5,both,B2,76,44,32,0.5789473684210527,0.0,LONG_FIRST_F0_vs_DURATION
5,both,B3,1010,965,45,0.9554455445544554,1.0,LONG_FIRST_F0_vs_DURATION
5,long_first_only,ALL,915,562,353,0.614207650273224,0.014207650273224045,LONG_FIRST_F0_vs_DURATION
